City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Port-Gentil,GA,2021-09-08 13:01:15,-0.7193,8.7815,76.95,80,25,9.04
223,Chokurdakh,RU,2021-09-08 13:04:43,70.6333,147.9167,32.63,92,100,14.05
224,Half Moon Bay,US,2021-09-08 13:04:43,37.4636,-122.4286,67.89,84,1,0.0
225,Benguela,AO,2021-09-08 13:04:44,-12.5763,13.4055,77.5,69,39,9.33
226,Goundi,TD,2021-09-08 13:04:44,9.3627,17.366,85.86,64,91,4.81
227,Boddam,GB,2021-09-08 13:04:44,57.4667,-1.7833,81.09,88,100,10.36
228,Djibo,BF,2021-09-08 13:04:44,14.1022,-1.6306,89.73,48,99,14.41
229,Lata,PT,2021-09-08 13:04:45,40.1629,-8.3327,77.92,50,99,9.95
230,Cabinda,AO,2021-09-08 13:04:45,-5.55,12.2,80.01,68,17,9.8
231,Verkhoyansk,RU,2021-09-08 13:04:46,67.5447,133.385,34.74,64,5,3.85
232,San Cristobal,VE,2021-09-08 13:04:46,7.7669,-72.225,69.98,62,22,4.29
233,Wote,KE,2021-09-08 13:04:46,-1.7808,37.6288,78.8,44,76,8.86
234,Luderitz,NA,2021-09-08 13:04:47,-26.6481,15.1594,68.81,40,0,7.87
235,Itarema,BR,2021-09-08 13:04:47,-2.9248,-39.9167,84.45,61,53,14.45
236,Beoumi,CI,2021-09-08 13:04:47,7.6736,-5.5764,88.16,56,34,2.93
237,Vardo,NO,2021-09-08 13:04:47,70.3705,31.1107,44.8,66,99,14.92
238,Winnemucca,US,2021-09-08 12:59:55,40.973,-117.7357,65.79,17,0,3.49
239,Collie,AU,2021-09-08 13:04:48,-33.3667,116.15,54.99,98,51,4.41
240,Batticaloa,LK,2021-09-08 13:04:48,7.7102,81.6924,83.7,75,33,8.1
241,Gorontalo,ID,2021-09-08 13:04:48,0.5412,123.0595,75.81,93,100,3.71
242,Umm Lajj,SA,2021-09-08 13:04:49,25.0213,37.2685,92.21,54,8,25.23
243,Phangnga,TH,2021-09-08 13:04:49,8.4509,98.5298,75.24,89,100,7.54
244,Atambua,ID,2021-09-08 13:04:49,-9.1061,124.8925,72.23,72,22,8.52
245,Emba,KZ,2021-09-08 13:04:50,48.8264,58.1442,63.46,19,0,12.84
246,Anahuac,MX,2021-09-08 13:04:50,27.2333,-100.15,76.5,73,0,5.3
247,Luwuk,ID,2021-09-08 13:04:50,-0.9516,122.7875,75.42,90,100,5.93
248,Cayenne,GF,2021-09-08 13:00:08,4.9333,-52.3333,86.04,81,40,3.0
249,Bethel,US,2021-09-08 13:04:51,41.3712,-73.414,74.48,82,1,8.05
250,Mount Isa,AU,2021-09-08 13:04:51,-20.7333,139.5,73.17,15,0,8.05
251,Kharhial,IN,2021-09-08 13:04:51,20.2833,82.7667,80.17,80,46,3.53
252,Kudat,MY,2021-09-08 13:04:52,6.8837,116.8477,80.06,74,100,14.74
253,Cam Ranh,VN,2021-09-08 13:04:52,11.9214,109.1591,76.96,88,75,4.61
254,Nemuro,JP,2021-09-08 13:04:52,43.3236,145.575,60.24,82,13,15.1
255,Ulladulla,AU,2021-09-08 13:04:53,-35.35,150.4667,56.88,85,0,5.7
256,Lufilufi,WS,2021-09-08 13:04:53,-13.8745,-171.5986,80.53,79,78,15.21
257,Formosa,AR,2021-09-08 13:04:36,-26.1775,-58.1781,62.4,92,100,9.31
258,Christchurch,NZ,2021-09-08 13:04:53,-43.5333,172.6333,37.47,87,100,3.44
259,Pantai Remis,MY,2021-09-08 13:04:54,4.4557,100.6288,80.51,76,64,5.53
260,Bubaque,GW,2021-09-08 13:04:54,11.2833,-15.8333,80.49,82,31,10.87
261,Liverpool,GB,2021-09-08 13:04:54,53.4106,-2.9779,84.69,47,0,5.99
